motivation,hear_about,prior_participation,activities_experience,class_interest,which_class
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['None'],['None'],3,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']",['High School'],['Virtual Session'],"['School Computing Class', 'Teacher Counselor']",1,['N/A']
"['To keep current in computing skills', 'Career Advancement', 'Career Change', 'Professional Development', 'IT Industry Certifications']","['Web site', 'Family member or friend', 'Current student', 'High School', 'Live nearby']",['None'],"['Family Friend', 'Family Friend Computing', 'Employer']",5,['N/A']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Social Media', 'Community Event', 'Family member or friend', 'Employer', 'Current student', 'High School']",['Oncampus Session'],['None'],1,['N/A']
['It’s a required class for the degree I’m seeking'],"['Current student', 'High School']",['None'],['School Computing Class'],5,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Professional Development', 'Personal Enrichment', 'Curiosity']","['Web site', 'Billboard', 'Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",3,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Alumni', 'High School']",['Women Dare'],['None'],5,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Family member or friend', 'High School']",['None'],['None'],4,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Professional Development', 'Personal Enrichment']","['Web site', 'Family member or friend', 'Alumni', 'High School']","['Open House', 'Regional Fair']","['Family Friend', 'Family Friend Computing']",4,['N/A']
['It’s a required class for the degree I’m seeking'],"['Billboard', 'Family member or friend', 'I would pass by CCM all the time']","['Open House', 'Oncampus Session']","['Family Friend', 'Employer']",2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['Virtual Session'],['Teacher Counselor'],2,['N/A']
['It’s a required class for the degree I’m seeking'],['High School'],['Oncampus Session'],"['School Computing Class', 'Family Friend', 'Teacher Counselor']",2,['N/A']
['It’s a required class for the degree I’m seeking'],['Billboard'],"['Women Dare', 'Regional Fair']","['Computing Competitions', 'Afterschool Computing', 'Summer Computing Camp', 'Ap Computing', 'Dual Enrollment', 'Teacher Counselor']",5,['Web Development']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Billboard', 'Social Media', 'Family member or friend', 'Current student', 'High School']",['None'],['None'],3,['N/A']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],2,['N/A']
"['It’s a required class for the degree I’m seeking', 'Career Change', 'Financial']",['Family member or friend'],['None'],['None'],3,"['CyberSecurity', 'App Development', 'Computer Programming', 'Game Design']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']",['Current student'],['None'],['None'],2,['Machine Learning/Artificial Intelligence']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student', 'High School']",['None'],['None'],2,"['Game Design', 'Hardware Installation & Repair']"
['Curiosity'],['Family member or friend'],['None'],"['Family Friend', 'Family Friend Computing', 'Teacher Counselor']",4,"['Web Development', 'CyberSecurity', 'Machine Learning/Artificial Intelligence', 'Hardware Installation & Repair']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['None'],['Teacher Counselor'],2,['Data Analytics']
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['None'],"['Family Friend', 'Family Friend Computing']",1,['N/A']
['It’s a required class for the degree I’m seeking'],['Current student'],['None'],['None'],1,['N/A']
"['To keep current in computing skills', 'Personal Enrichment', 'Curiosity']",['Family member or friend'],"['Open House', 'Regional Fair']","['School Computing Class', 'Family Friend', 'Teacher Counselor']",3,"['App Development', 'Machine Learning/Artificial Intelligence', 'Computer Programming', 'Game Design']"
['It’s a required class for the degree I’m seeking'],['High School'],"['Open House', 'Regional Fair']",['None'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Social Media', 'Family member or friend', 'Current student', 'Alumni', 'High School']",['Open House'],['None'],1,['N/A']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Billboard', 'Current student']",['Virtual Session'],"['Afterschool Computing', 'Summer Computing Camp', 'Family Friend']",1,['N/A']
['Career requirement'],"['Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],['None'],4,"['Computer Programming', 'Game Design']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Family member or friend', 'Current student', 'High School']","['Instant Decision', 'Regional Fair']","['School Computing Class', 'School Computing Club', 'Family Friend Computing', 'Teacher Counselor']",3,['App Development']
['It’s a required class for the degree I’m seeking'],['Current student'],['Open House'],['None'],3,['App Development']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Web site', 'Family member or friend', 'Current student', 'High School']",['Virtual Session'],"['School Computing Class', 'Teacher Counselor']",2,['Game Design']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Social Media', 'Family member or friend', 'Current student', 'Alumni', 'High School']","['Open House', 'Virtual Session']",['None'],2,['Game Design']
['It’s a required class for the degree I’m seeking'],['Web site'],"['Oncampus Session', 'Virtual Session', 'Regional Fair']","['School Computing Class', 'School Computing Club']",3,['Hardware Installation & Repair']
"['It’s a required class for the degree I’m seeking', 'Curiosity']","['Web site', 'Billboard', 'Social Media', 'Family member or friend']",['Oncampus Session'],"['School Computing Class', 'Computing Competitions']",3,"['CyberSecurity', 'App Development', 'Hardware Installation & Repair']"
['advisor told me to take it'],"['Current student', 'High School']",['None'],['None'],2,['N/A']
"['It’s a required class for the degree I’m seeking', 'Career Change']",['High School'],['None'],['None'],1,['N/A']
['It’s a required class for the degree I’m seeking'],['Current student'],['None'],['Employer'],1,['N/A']
"['It’s a required class for the degree I’m seeking', 'Career Change']",['High School'],['None'],['None'],1,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']","['Open House', 'Instant Decision', 'Virtual Session']","['Family Friend Computing', 'Teacher Counselor', 'Employer']",1,['Game Design']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']","['Open House', 'Regional Fair']",['None'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Billboard', 'Social Media', 'Community Event', 'Family member or friend', 'High School']","['Open House', 'Virtual Session']",['Teacher Counselor'],3,['N/A']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],"['School Computing Class', 'School Computing Club', 'Computing Competitions', 'Afterschool Computing', 'Summer Computing Camp']",2,['Game Design']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Career Advancement', 'Personal Enrichment', 'Curiosity']","['Family member or friend', 'Current student', 'High School']",['Open House'],['None'],3,"['Web Development', 'App Development', 'Data Analytics', 'Computer Programming']"
['It’s a required class for the degree I’m seeking'],['High School'],['None'],"['School Computing Class', 'Teacher Counselor', 'Employer']",1,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Career Change', 'Professional Development']","['Web site', 'Billboard', 'Social Media', 'Family member or friend', 'Current student', 'Alumni']",['Virtual Session'],"['Family Friend', 'Family Friend Computing']",3,"['CyberSecurity', 'Computer Programming', 'Hardware Installation & Repair']"
"['It’s a required class for the degree I’m seeking', 'My sister took this class and she really enjoyed it so she recommended and encouraged me to take it!']",['Family member or friend'],['Open House'],"['School Computing Class', 'School Computing Club', 'Family Friend', 'Family Friend Computing']",4,"['Web Development', 'App Development']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Personal Enrichment']","['Web site', 'Social Media', 'Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],['None'],2,['N/A']
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['None'],['None'],3,['N/A']
['It was required that I take the class.'],"['Family member or friend', 'Current student', 'High School']",['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor']",2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Billboard', 'Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],['None'],3,"['CyberSecurity', 'Data Analytics', 'Computer Programming']"
"['Personal Enrichment', 'Curiosity']","['Web site', 'Billboard', 'Social Media', 'Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing']",3,['Game Design']
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['None'],['None'],3,"['Web Development', 'App Development', 'Computer Programming', 'Hardware Installation & Repair']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']",['High School'],['None'],"['Family Friend', 'Family Friend Computing']",3,['CyberSecurity']
['It’s a required class for the degree I’m seeking'],['Family member or friend'],"['Open House', 'Virtual Session']","['School Computing Class', 'School Computing Club', 'Afterschool Computing', 'Summer Computing Camp']",2,['Computer Programming']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Personal Enrichment', 'Curiosity']","['Family member or friend', 'Current student', 'Alumni', 'High School']",['Regional Fair'],"['Family Friend', 'Family Friend Computing']",2,['Data Analytics']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Career Advancement', 'Personal Enrichment', 'Curiosity']","['Web site', 'Billboard', 'Family member or friend']",['None'],"['School Computing Class', 'School Computing Club', 'Computing Competitions', 'Afterschool Computing', 'Summer Computing Camp', 'Ap Computing', 'Dual Enrollment', 'Teacher Counselor', 'Employer']",1,['N/A']
['It’s a required class for the degree I’m seeking'],['Billboard'],['None'],['None'],2,['CyberSecurity']
['It’s a required class for the degree I’m seeking'],['Web site'],['None'],['Family Friend'],1,['N/A']
['It’s a required class for the degree I’m seeking'],['Current student'],['None'],['Teacher Counselor'],2,['N/A']
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['None'],['Family Friend'],1,['N/A']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],2,['CyberSecurity']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Social Media', 'Community Event', 'Family member or friend', 'Alumni', 'High School']",['Virtual Session'],['None'],1,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Web site', 'Billboard', 'Television', 'Radio', 'Social Media', 'Community Event', 'Family member or friend', 'Alumni']",['Regional Fair'],"['Family Friend', 'Family Friend Computing']",2,['CyberSecurity']
['To keep current in computing skills'],"['Family member or friend', 'High School']",['Oncampus Session'],"['School Computing Class', 'Family Friend']",4,['Web Development']
['It’s a required class for the degree I’m seeking'],['Web site'],['Open House'],"['School Computing Class', 'School Computing Club', 'Computing Competitions', 'Afterschool Computing', 'Summer Computing Camp', 'Ap Computing', 'Dual Enrollment', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",4,['Computer Programming']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student', 'High School']",['None'],['None'],1,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Career Advancement', 'Career Change', 'Job Displacement', 'Personal Enrichment', 'Curiosity']","['Web site', 'Billboard', 'Television', 'Social Media', 'Family member or friend']","['Open House', 'Regional Fair']","['School Computing Class', 'School Computing Club', 'Computing Competitions', 'Afterschool Computing', 'Family Friend Computing', 'Teacher Counselor']",5,"['Web Development', 'App Development', 'Data Analytics', 'Computer Programming', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student', 'High School']",['Open House'],['None'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['None'],"['School Computing Class', 'Family Friend', 'Teacher Counselor', 'Employer']",4,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Career Advancement', 'Career Change', 'Professional Development', 'Curiosity']","['Web site', 'Billboard', 'Television', 'Radio', 'Social Media', 'Community Event', 'Family member or friend', 'Employer', 'Current student', 'Alumni', 'High School']","['Oncampus Session', 'Regional Fair']","['School Computing Class', 'Family Friend', 'Family Friend Computing']",2,"['CyberSecurity', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Web site', 'Billboard', 'Television', 'Family member or friend']",['None'],['None'],3,['App Development']
['Career Advancement'],"['Family member or friend', 'High School']",['None'],['Family Friend'],1,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']",['High School'],['None'],['Employer'],1,['N/A']
['It’s a required class for the degree I’m seeking'],['Alumni'],['Oncampus Session'],['None'],1,['Web Development']
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['None'],['None'],1,['N/A']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Billboard', 'Social Media', 'Family member or friend', 'Current student', 'High School']",['Regional Fair'],['School Computing Class'],2,['Web Development']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['Family Friend Computing'],2,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Family member or friend', 'Employer', 'Current student', 'Alumni', 'High School']",['Open House'],['None'],1,['CyberSecurity']
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['None'],['None'],1,['N/A']
"['It’s a required class for the degree I’m seeking', 'Personal Enrichment', 'Curiosity']","['Web site', 'Billboard', 'Current student', 'Alumni', 'High School']",['None'],"['School Computing Class', 'Family Friend', 'Employer']",3,"['CyberSecurity', 'App Development', 'Game Design']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Professional Development', 'Technology is so prevalent these days. And i am looking to enter into the nursing and radiography fields. Tech has become a mainstay in both but knowledge working with computers is especially needed in radiography. I feel it is good for me to keep up with the changing world of technology ']","['Web site', 'i had attendend ccm years ago right out of high school. I grew up in the area and always knew of the school']",['Virtual Session'],['Employer'],4,"['CyberSecurity', 'Machine Learning/Artificial Intelligence']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Web site', 'Billboard', 'Social Media', 'Community Event', 'Family member or friend', 'High School']",['Virtual Session'],"['Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",1,['Game Design']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Radio', 'Community Event', 'Family member or friend', 'Employer', 'Current student', 'Alumni', 'High School']",['None'],['Family Friend'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student', 'Alumni', 'High School']",['Open House'],"['Family Friend', 'Employer']",2,['N/A']
['It’s a required class for the degree I’m seeking'],['Current student'],['None'],['None'],3,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],"['Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",1,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Community Event', 'Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",1,['N/A']
['Personal Enrichment'],['Web site'],['None'],['None'],4,['CyberSecurity']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Community Event', 'Family member or friend', 'High School']","['Open House', 'Instant Decision', 'Oncampus Session', 'Regional Fair']","['School Computing Class', 'Family Friend', 'Family Friend Computing', 'Employer']",3,"['CyberSecurity', 'Computer Programming', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Web site', 'Family member or friend', 'High School']",['Open House'],"['Family Friend', 'Family Friend Computing']",3,['Computer Programming']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['None'],['None'],2,['N/A']
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['None'],['None'],1,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Web site', 'Family member or friend', 'Current student', 'Alumni', 'High School']","['Open House', 'Instant Decision', 'Oncampus Session']","['School Computing Class', 'School Computing Club', 'Computing Competitions', 'Summer Computing Camp', 'Dual Enrollment']",2,['N/A']
['It’s a required class for the degree I’m seeking'],['High School'],"['Open House', 'Oncampus Session', 'Regional Fair']",['Family Friend'],1,['Game Design']
['It’s a required class for the degree I’m seeking'],"['Web site', 'High School']",['Oncampus Session'],"['School Computing Class', 'Family Friend']",4,"['Web Development', 'Computer Programming']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['None'],['None'],1,['N/A']
"['It’s a required class for the degree I’m seeking', 'Personal Enrichment', 'Curiosity']","['Social Media', 'Family member or friend', 'High School']",['None'],"['Family Friend Computing', 'Teacher Counselor', 'Employer']",2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['None'],['None'],1,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Personal Enrichment']","['Billboard', 'Family member or friend', 'Current student', 'High School']",['None'],"['Family Friend', 'Teacher Counselor', 'Employer']",1,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Personal Enrichment']","['Billboard', 'Family member or friend', 'Current student', 'High School']",['None'],"['Family Friend', 'Employer']",1,['N/A']
['Curiosity'],"['Family member or friend', 'High School']",['None'],"['School Computing Class', 'Computing Competitions', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor']",3,"['App Development', 'Computer Programming', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Web site', 'Family member or friend']",['Virtual Session'],['School Computing Class'],2,['N/A']
