motivation,hear_about,prior_participation,activities_experience,class_interest,which_class
['It’s a required class for the degree I’m seeking'],"['Web site', 'Family member or friend']",['Virtual Session'],['School Computing Class'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Billboard', 'Family member or friend', 'Current student', 'High School']",['Open House'],['None'],1,['N/A']
"['To keep current in computing skills', 'Career Advancement', 'Professional Development', 'Curiosity']",['Family member or friend'],['None'],"['Family Friend', 'Employer']",3,['Game Design']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Personal Enrichment']","['Web site', 'Social Media', 'Family member or friend', 'High School']",['None'],"['School Computing Class', 'Dual Enrollment', 'Family Friend', 'Teacher Counselor']",2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Social Media', 'Family member or friend', 'High School']",['None'],['None'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Social Media', 'Family member or friend', 'High School']",['None'],['None'],2,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']",['Family member or friend'],['None'],['None'],1,['N/A']
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['None'],['None'],4,"['CyberSecurity', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Web site', 'Family member or friend']",['Virtual Session'],['None'],1,['N/A']
"['It’s a required class for the degree I’m seeking', 'Professional Development']","['Web site', 'Current student']","['Open House', 'Virtual Session', 'Regional Fair']","['School Computing Class', 'Dual Enrollment', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",3,"['Machine Learning/Artificial Intelligence', 'Computer Programming']"
['It’s a required class for the degree I’m seeking'],"['Web site', 'Billboard', 'Family member or friend']",['Open House'],['School Computing Class'],4,['Machine Learning/Artificial Intelligence']
"['It’s a required class for the degree I’m seeking', 'Career Advancement']","['Family member or friend', 'Current student', 'Alumni', 'High School']",['Virtual Session'],['None'],2,['Game Design']
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['Virtual Session'],['None'],3,"['Web Development', 'Computer Programming', 'Hardware Installation & Repair']"
['It’s a required class for the degree I’m seeking'],"['Current student', 'High School']",['None'],"['School Computing Class', 'School Computing Club']",3,"['Data Analytics', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Billboard', 'Family member or friend', 'High School']",['None'],['None'],3,['N/A']
['It’s a required class for the degree I’m seeking'],['Alumni'],['None'],['None'],1,['N/A']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],2,"['CyberSecurity', 'Game Design']"
['It’s a required class for the degree I’m seeking'],['High School'],['None'],"['School Computing Class', 'Teacher Counselor']",3,['App Development']
"['It’s a required class for the degree I’m seeking', 'Personal Enrichment']","['Billboard', 'Family member or friend', 'Current student', 'High School']",['Oncampus Session'],['School Computing Class'],3,"['Computer Programming', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",4,"['CyberSecurity', 'Data Analytics']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Family member or friend', 'Current student', 'Alumni', 'High School']",['Virtual Session'],['None'],4,"['CyberSecurity', 'Computer Programming']"
['It’s a required class for the degree I’m seeking'],['High School'],['Oncampus Session'],"['School Computing Class', 'Teacher Counselor']",3,['Computer Programming']
['It’s a required class for the degree I’m seeking'],['High School'],"['Open House', 'Oncampus Session']","['Computing Competitions', 'Family Friend', 'Family Friend Computing']",4,['CyberSecurity']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Career Advancement']",['Family member or friend'],['None'],['None'],2,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Professional Development', 'Personal Enrichment']","['Family member or friend', 'Employer', 'Current student']",['None'],"['Family Friend', 'Employer']",3,['App Development']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Career Change', 'Professional Development']","['Family member or friend', 'Current student', 'Alumni', 'High School']",['Instant Decision'],"['School Computing Class', 'Family Friend', 'Family Friend Computing']",3,"['CyberSecurity', 'Data Analytics']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Family member or friend', 'Employer', 'Current student']",['None'],"['Family Friend', 'Employer']",3,['Data Analytics']
"['It’s a required class for the degree I’m seeking', 'Career Advancement']","['Family member or friend', 'Current student', 'High School']","['Open House', 'Instant Decision', 'Regional Fair']",['None'],5,['N/A']
"['It’s a required class for the degree I’m seeking', 'Curiosity']","['Web site', 'Family member or friend', 'Alumni']",['None'],['None'],2,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Career Advancement', 'Personal Enrichment']","['Family member or friend', 'Employer', 'Current student', 'High School']",['None'],"['School Computing Class', 'Family Friend', 'Teacher Counselor']",3,['N/A']
['Curiosity'],['High School'],['None'],"['School Computing Class', 'Family Friend', 'Teacher Counselor']",3,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student', 'Alumni', 'High School']",['Instant Decision'],"['School Computing Class', 'Family Friend']",3,"['CyberSecurity', 'Data Analytics']"
['It’s a required class for the degree I’m seeking'],"['Social Media', 'Family member or friend', 'High School']",['None'],['None'],2,['N/A']
['It’s a required class for the degree I’m seeking'],['former student '],['Virtual Session'],['Family Friend Computing'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['None'],['None'],3,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Alumni']",['None'],['Family Friend'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Family member or friend', 'High School']","['Open House', 'Oncampus Session']","['School Computing Class', 'Family Friend Computing']",2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student', 'High School']","['Open House', 'Oncampus Session']","['Family Friend Computing', 'Teacher Counselor']",2,['N/A']
['It’s a required class for the degree I’m seeking'],['Baseball coach recruit'],['None'],['None'],1,['N/A']
['It’s a required class for the degree I’m seeking'],"['Billboard', 'Community Event', 'Family member or friend', 'Current student', 'Alumni', 'High School']","['Oncampus Session', 'Regional Fair']","['School Computing Class', 'Family Friend', 'Family Friend Computing', 'Employer']",2,['Computer Programming']
['It’s a required class for the degree I’m seeking'],"['Community Event', 'High School']",['None'],['Teacher Counselor'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Billboard', 'Social Media', 'Family member or friend', 'High School']",['None'],"['School Computing Class', 'Computing Competitions']",3,['Game Design']
"['Career Advancement', 'Career Change']",['Family member or friend'],['Virtual Session'],"['School Computing Class', 'Afterschool Computing', 'Summer Computing Camp', 'Ap Computing', 'Dual Enrollment', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",3,['Data Analytics']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Billboard', 'High School']",['None'],"['School Computing Class', 'Teacher Counselor']",4,['Game Design']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",4,"['Game Design', 'Hardware Installation & Repair']"
"['To keep current in computing skills', 'Career Change', 'Curiosity']","['Web site', 'Social Media', 'Community Event', 'Family member or friend', 'High School']",['Virtual Session'],"['School Computing Class', 'Family Friend', 'Teacher Counselor']",4,"['App Development', 'Data Analytics', 'Machine Learning/Artificial Intelligence', 'Computer Programming']"
['It’s a required class for the degree I’m seeking'],"['Current student', 'High School']",['Virtual Session'],"['School Computing Class', 'School Computing Club', 'Teacher Counselor']",1,"['App Development', 'Game Design']"
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],1,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Financial', 'Curiosity']","['Web site', 'Family member or friend', 'Employer', 'High School', 'Nearest College']",['None'],"['School Computing Class', 'Ap Computing', 'Family Friend', 'Family Friend Computing']",4,"['CyberSecurity', 'Data Analytics', 'Game Design', 'Hardware Installation & Repair']"
['It’s a required class for the degree I’m seeking'],"['Current student', 'High School']",['None'],['School Computing Class'],1,['Game Design']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Career Advancement']","['Web site', 'Billboard', 'Social Media', 'Community Event', 'Family member or friend', 'Current student', 'Alumni']","['Open House', 'Oncampus Session']","['Family Friend', 'Family Friend Computing']",2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['Virtual Session'],['Teacher Counselor'],2,['N/A']
"['To keep current in computing skills', 'Professional Development']","['Web site', 'Social Media', 'Community Event', 'Family member or friend', 'Current student', 'High School']",['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",2,['Game Design']
['It’s a required class for the degree I’m seeking'],"['Current student', 'High School']","['Open House', 'Oncampus Session', 'Regional Fair']",['Family Friend Computing'],3,['N/A']
['It’s a required class for the degree I’m seeking'],"['Billboard', 'Social Media', 'Family member or friend', 'Current student', 'High School']",['Open House'],['None'],3,"['App Development', 'Machine Learning/Artificial Intelligence']"
['It’s a required class for the degree I’m seeking'],"['Billboard', 'Radio', 'Community Event', 'Current student']",['Open House'],"['Family Friend', 'Teacher Counselor']",2,['CyberSecurity']
['It’s a required class for the degree I’m seeking'],['Family member or friend'],['None'],['None'],1,['N/A']
"['Professional Development', 'prerequisite']",['Web site'],['None'],['None'],1,['CyberSecurity']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Personal Enrichment']","['Family member or friend', 'Current student', 'High School']",['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing']",3,"['CyberSecurity', 'App Development', 'Machine Learning/Artificial Intelligence', 'Computer Programming', 'Game Design', 'Hardware Installation & Repair']"
['It’s a required class for the degree I’m seeking'],"['Web site', 'Social Media', 'Family member or friend']",['None'],['School Computing Class'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Social Media', 'Community Event', 'Family member or friend', 'Employer', 'High School']",['Oncampus Session'],['School Computing Class'],1,"['CyberSecurity', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student', 'Alumni', 'High School']","['Open House', 'Instant Decision']",['None'],3,['Game Design']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],1,['N/A']
['To keep current in computing skills'],"['Web site', 'Family member or friend']",['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing']",5,"['Web Development', 'CyberSecurity', 'App Development', 'Data Analytics', 'Computer Programming']"
"['To keep current in computing skills', 'Curiosity']","['Web site', 'Family member or friend']",['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor']",3,"['Web Development', 'CyberSecurity', 'Computer Programming', 'Hardware Installation & Repair']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['Open House'],['None'],3,['Data Analytics']
['To keep current in computing skills'],['Family member or friend'],['None'],"['School Computing Class', 'Ap Computing', 'Dual Enrollment', 'Family Friend Computing']",1,['N/A']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],3,['Web Development']
"['It’s a required class for the degree I’m seeking', 'Professional Development', 'Curiosity']",['Current student'],['None'],"['School Computing Class', 'School Computing Club', 'Computing Competitions', 'Afterschool Computing', 'Summer Computing Camp', 'Ap Computing', 'Dual Enrollment', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",5,['Hardware Installation & Repair']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['School Computing Class'],2,['N/A']
"['It’s a required class for the degree I’m seeking', 'Career Advancement']","['Billboard', 'Family member or friend']",['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing']",3,"['CyberSecurity', 'Data Analytics']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['None'],['School Computing Class'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Social Media', 'Family member or friend', 'Employer', 'High School']",['Virtual Session'],"['School Computing Class', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",3,"['CyberSecurity', 'App Development', 'Game Design']"
['It’s a required class for the degree I’m seeking'],['High School'],['Regional Fair'],"['School Computing Class', 'School Computing Club', 'Afterschool Computing', 'Summer Computing Camp', 'Family Friend', 'Family Friend Computing', 'Employer']",3,['Computer Programming']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Web site', 'Family member or friend', 'Current student']",['None'],['None'],3,['Game Design']
"['It’s a required class for the degree I’m seeking', 'Career Advancement']","['Family member or friend', 'Current student', 'High School']",['Open House'],"['School Computing Class', 'Family Friend', 'Teacher Counselor']",2,"['Web Development', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Community Event', 'Family member or friend', 'High School']","['Open House', 'Instant Decision', 'Virtual Session', 'Regional Fair']",['None'],3,['Web Development']
"['It’s a required class for the degree I’m seeking', 'Professional Development']","['Web site', 'Billboard', 'Social Media', 'Community Event', 'Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],['None'],2,"['App Development', 'Data Analytics', 'Computer Programming']"
"['It’s a required class for the degree I’m seeking', 'Career Advancement', 'Personal Enrichment']","['Web site', 'Social Media', 'High School']","['Open House', 'Oncampus Session', 'Virtual Session']","['School Computing Class', 'School Computing Club', 'Computing Competitions', 'Afterschool Computing', 'Summer Computing Camp', 'Ap Computing', 'Dual Enrollment', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",5,['Data Analytics']
"['To keep current in computing skills', 'Career Advancement', 'Professional Development', 'Financial', 'Personal Enrichment', 'Curiosity']","['Family member or friend', 'Current student', 'High School']",['None'],['Family Friend'],5,"['CyberSecurity', 'Data Analytics', 'Machine Learning/Artificial Intelligence', 'Computer Programming', 'Game Design', 'Hardware Installation & Repair']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Curiosity']",['High School'],"['Open House', 'Oncampus Session', 'Regional Fair']","['School Computing Club', 'Ap Computing', 'Dual Enrollment', 'Family Friend', 'Teacher Counselor', 'Employer']",5,"['Machine Learning/Artificial Intelligence', 'Computer Programming', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['None'],['None'],2,"['Web Development', 'Hardware Installation & Repair']"
['It’s a required class for the degree I’m seeking'],"['Current student', 'Alumni', 'High School']",['Instant Decision'],['School Computing Class'],3,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Personal Enrichment']",['Family member or friend'],['None'],['None'],4,"['CyberSecurity', 'App Development', 'Data Analytics', 'Machine Learning/Artificial Intelligence']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],['None'],3,"['Data Analytics', 'Computer Programming', 'Hardware Installation & Repair']"
"['It’s a required class for the degree I’m seeking', 'Curiosity']","['Current student', 'High School']",['None'],"['Teacher Counselor', 'Employer']",3,"['Web Development', 'CyberSecurity', 'Computer Programming']"
['It’s a required class for the degree I’m seeking'],['High School'],"['Open House', 'Women Dare']",['Employer'],3,"['App Development', 'Computer Programming']"
['It’s a required class for the degree I’m seeking'],"['Web site', 'Social Media', 'Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],"['School Computing Class', 'Computing Competitions', 'Afterschool Computing']",3,['Game Design']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Web site', 'Family member or friend', 'High School']",['None'],"['Teacher Counselor', 'Employer']",5,"['CyberSecurity', 'Machine Learning/Artificial Intelligence', 'Computer Programming', 'Hardware Installation & Repair']"
['It’s a required class for the degree I’m seeking'],"['Web site', 'High School']","['Instant Decision', 'Virtual Session']","['School Computing Class', 'School Computing Club', 'Computing Competitions', 'Afterschool Computing', 'Summer Computing Camp', 'Ap Computing', 'Dual Enrollment', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",3,['Machine Learning/Artificial Intelligence']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student']",['Open House'],['Family Friend'],1,['Web Development']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],3,"['CyberSecurity', 'Data Analytics', 'Machine Learning/Artificial Intelligence', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Alumni', 'High School']",['Virtual Session'],['None'],2,['N/A']
"['It’s a required class for the degree I’m seeking', 'Career Advancement']",['High School'],['None'],"['School Computing Class', 'School Computing Club', 'Teacher Counselor']",2,['N/A']
"['It’s a required class for the degree I’m seeking', 'Career Advancement']","['Web site', 'High School']",['None'],['Family Friend Computing'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student']",['Regional Fair'],['None'],1,['N/A']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],3,"['CyberSecurity', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Social Media', 'High School']",['None'],['School Computing Class'],1,['N/A']
"['To keep current in computing skills', 'Personal Enrichment', 'Curiosity']","['Family member or friend', 'Alumni', 'High School', 'local']",['None'],"['School Computing Class', 'Family Friend']",4,"['Web Development', 'CyberSecurity', 'App Development', 'Data Analytics', 'Machine Learning/Artificial Intelligence', 'Computer Programming', 'Hardware Installation & Repair']"
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],4,"['Web Development', 'Computer Programming']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Career Advancement']",['Therapist '],['None'],['None'],4,"['Web Development', 'App Development']"
